,Product Name,Product URL,Product Price,Rating,Number of Reviews
264,Wenger Ibex 17 Inch (23 litres) Blue Laptop Backpack Swiss Designed - 600638,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUzODkxMDgxOTMyNTcyOjE2NzU1Nzg4OTg6c3BfYXRmX25leHQ6MjAwNTgxNDM4NzM3OTg6OjA6Og&url=%2FIbex-17-Inch-Notebook-Backpack%2Fdp%2FB000VOC90Y%2Fref%3Dsr_1_193_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578898%26sprefix%3Dba%252Caps%252C283%26sr%3D8-193-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"7,280",4.2 out of 5 stars,"1,498"
265,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUzODkxMDgxOTMyNTcyOjE2NzU1Nzg4OTg6c3BfYXRmX25leHQ6MjAwNDE2OTU2NzY0MDY6OjA6Og&url=%2FCosmus-Casual-Backpack-Charger-College%2Fdp%2FB08D7D2ZFX%2Fref%3Dsr_1_194_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578898%26sprefix%3Dba%252Caps%252C283%26sr%3D8-194-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"1,181",3.7 out of 5 stars,215
266,"Storite Stylish Small PU Leather Sling Cross Body Travel Office Messenger One Side Shoulder Bag for Men Women(Brown, 20.5x9x16.5cm)",https://www.amazon.in/Storite-Leather-Sling-Bag-Brown/dp/B08TR8RMNH/ref=sr_1_195?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-195,799,4.2 out of 5 stars,596
267,Tommy Hilfiger Polyester 53 cms Navy + White Gym Shoulder Bag (TH/KENDALL0815),https://www.amazon.in/Tommy-Hilfiger-Polyester-TH-KENDALL0815/dp/B082PFY9VC/ref=sr_1_196_mod_primary_new?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-196,"1,681",3.1 out of 5 stars,16
268,Lavie Women's Marma Dome Sling Bag| Ladies Purse Handbag,https://www.amazon.in/Marma-Zig-Zag-Sling-Navy/dp/B08KR4WRM6/ref=sr_1_197?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-197,909,3.9 out of 5 stars,337
269,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30/ref=sr_1_198?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-198,799,4.2 out of 5 stars,445
270,Tabelito® Casual 15.6 Inch (39.6 cm) Water Repellent Laptop Backpack Office College School Business Travel Bag Suitable for Men Women Boys & Girls Capacity 25 Litre (Grey),https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK/ref=sr_1_199?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-199,549,4.1 out of 5 stars,"2,772"
271,"SABUZ BAG 15.6-inch Laptop Computer Briefcase,Water Resistant, Business Bag with Waterproof Zipper,Shoulder Bag Handbag,Compatible with laptop MacBook Notebook,for MeN&Women GREY",https://www.amazon.in/15-6-inch-Briefcase-Resistant-Waterproof-Compatible/dp/B0966F821Q/ref=sr_1_200?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-200,749,4.3 out of 5 stars,"3,184"
272,Lino Perros Sling bag,https://www.amazon.in/Lino-Perros-Womens-Sling-Black/dp/B07B4FBQ3X/ref=sr_1_201?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-201,809,4.5 out of 5 stars,257
273,"AirCase Office Canvas Sling Messenger Bag fits Upto 15.6"" Laptop/ MacBook, PU Leather Handles, Detachable Shoulder Strap, Easy to Clean, for Office/ Travel, Men & Women,Grey- 6 Month Warranty",https://www.amazon.in/AirCase-Messenger-Detachable-Shoulder-Warranty/dp/B0BHZ12XQ7/ref=sr_1_202?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-202,998,4.0 out of 5 stars,"1,447"
274,HA creation Large Laptop Backpack/Bag for Unisex Teens & Adults for College/Office/Travel/School Use | 30.5 cm x 23 cm x 46 cm | Multicolor .,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUzODkxMDgxOTMyNTcyOjE2NzU1Nzg4OTg6c3BfbXRmOjIwMTE3MDIxNDk1OTk4OjowOjo&url=%2Fcreation-Large-Laptop-Backpack-Multicolor%2Fdp%2FB09VL7R1Y9%2Fref%3Dsr_1_203_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578898%26sprefix%3Dba%252Caps%252C283%26sr%3D8-203-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,490,4.4 out of 5 stars,140
275,ZUKA Synthetic Leather Laptop Backpack Travel Backpack college Backpack for Men and Women for 15.6 Inch Laptop,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzUzODkxMDgxOTMyNTcyOjE2NzU1Nzg4OTg6c3BfbXRmOjIwMDc4NDA4MzM2Nzk4OjowOjo&url=%2FZUKA-Synthetic-Leather-Backpack-college%2Fdp%2FB0B65QFSVW%2Fref%3Dsr_1_204_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675578898%26sprefix%3Dba%252Caps%252C283%26sr%3D8-204-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,651,4.1 out of 5 stars,368
276,"Zipline Synthetic Leather Executive SMALL messenger bag Briefcase for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)",https://www.amazon.in/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621/ref=sr_1_205?crid=2M096C61O4MLT&keywords=bags&qid=1675578898&sprefix=ba%2Caps%2C283&sr=8-205,938,3.9 out of 5 stars,585
